Date,OUTPUT
22/03/2022,"<li>Started college, but didn’t finish? N.J. officials may be tracking you down. (<a href=""https://www.nj.com/education/2022/03/started-college-but-didnt-finish-nj-officials-may-be-tracking-you-down.html"">NJ.com</a>)"
2022-03-22 11:26:04,"<li>Jersey City school board OKs nearly $1 billion school budget with $1,600 tax hike (<a href=""https://www.nj.com/hudson/2022/03/jersey-city-school-board-oks-nearly-1-billion-school-budget-with-1600-tax-hike.html"">NJ.com</a>)"
,-
2022-03-23 10:08:22,"<li>Bergen Community College awarded inaugural grant from the Infiniti Equity Fund (<a href=""https://www.roi-nj.com/2022/03/22/education/bergen-community-college-awarded-inaugural-grant-from-the-infiniti-equity-fund/"">ROI-NJ</a>)"
2022-03-23 10:03:41,"<li>Testa co-sponsors bill to amend diversity education in New Jersey schools (<a href=""https://pressofatlanticcity.com/news/state-and-regional/govt-and-politics/testa-co-sponsors-bill-to-amend-diversity-education-in-new-jersey-schools/article_06d9f132-aa40-11ec-9976-676a4368ef54.html"">Press of Atlantic City</a>)"
,-
2022-03-23 15:24:47,"<li>N.J. university steps in to save Bloomfield College from shutting down (<a href=""https://www.nj.com/education/2022/03/nj-university-steps-in-to-save-bloomfield-college-from-shutting-down.html?fbclid=IwAR2ZSL0RegtSROwMzdbiPBZe9kA_vzMaROLGQoTOhnb9xxT3GN2mrMoG2Uc"">NJ.com</a>)"
2022-03-24 12:16:47,"<li>Montclair State, Bloomfield take another step toward permanent relationship (<a href=""https://www.roi-nj.com/2022/03/23/education/montclair-state-bloomfield-take-another-step-toward-permanent-relationship/"">ROI-NJ</a>)"
2022-03-24 12:24:58,"<li>Testimony at budget hearing warns of child-care 'crisis' (<a href=""https://www.njspotlightnews.org/2022/03/child-care-crisis-budget-hearing-49b-testimony-remote-participation-eliana-pintor-marin-paul-sarlo/"">NJ Spotlight</a>)"
2022-03-24 12:22:16,"<li>Advocates call on Legislature to desegregate N.J. schools (<a href=""https://newjerseymonitor.com/2022/03/24/advocates-call-on-legislature-to-desegregate-n-j-schools/"">NJ Monitor</a>)"
,-
2022-03-30 11:56:17,"<li>N.J. high school to start later so students get more sleep (<a href=""https://www.nj.com/education/2022/03/nj-high-school-to-start-later-in-september-so-students-get-more-sleep.html"">NJ.com</a>)"
2022-03-30 12:00:08,"<li>Mixed reactions to $973M budget for Jersey City’s public schools (<a href=""https://www.njspotlightnews.org/video/mixed-reactions-to-973m-budget-for-jersey-citys-public-schools/"">NJ Spotlight</a>)"
,-
2022-04-04 11:48:30,"<li>With students in turmoil, US teachers train in mental health (<a href=""https://pressofatlanticcity.com/news/national/with-students-in-turmoil-us-teachers-train-in-mental-health/article_f02be19f-16ff-5c61-a63f-c393535744b4.html"">Press of Atlantic City</a>)"
2022-04-04 11:53:20,"<li>NJ legislation calls for later high school start times (<a href=""https://www.northjersey.com/story/news/education/2022/04/04/nj-schools-later-start-times-teens-sleep-deprived-mental-health/7232296001/"">NorthJersey.com</a>)"
,-
2022-04-18 13:31:44,"<li>Pascack Valley NJ school district sues Boswell, Environetics (<a href=""https://www.northjersey.com/story/news/bergen/montvale/2022/04/18/pascack-valley-regional-high-school-district-sues-boswell-environetics/7319944001/"">NorthJersey.com</a>)"
