Date,OUTPUT
2022-03-14 11:47:19,"<li>Murphy budget largely silent on climate issues | NJ Spotlight News (<a href=""https://www.njspotlightnews.org/2022/03/nj-budget-murphy-clean-energy-global-warming-largely-silent/"">NJ Spotlight</a>)"
2022-03-14 12:39:45,"<li>NJ town bans new warehouse development | NJ Spotlight News (<a href=""https://www.njspotlightnews.org/2022/03/mansfield-township-burlington-county-bans-more-warehouses-sprawl-truck-traffic-air-quality/"">NJ Spotlight</a>)"
2022-03-15 07:52:22,"<li>Should NJ import clean energy from other states? (<a href=""https://www.njspotlightnews.org/2022/03/study-suggests-nj-should-import-clean-energy-others-states-controversial-clean-energy-option/"">NJ Spotlight</a>)"
2022-03-16 11:09:32,"<li>Your questions answered on NJ's warehouse boom (<a href=""https://www.njspotlightnews.org/2022/03/warehouse-construction-boom-nj-njspotlight-news-implications-taxes-traffic-economics-roundtable/"">NJ Spotlight</a>)"
2022-03-15 15:03:28,"<li>Cherry Hill Township considers rules that may result in the 'harshest' tree protection law in the state. (<a href=""https://www.70and73.com/news/cherry-hill-township-considers-rules-that-may-result-in-the-harshest-tree-protection-law-in/article_0b05316a-a485-11ec-ae24-a740df41e0f2.html"">70and73.com</a>)"
,-
2022-03-17 12:25:27,"<li>Hackensack River nominated for EPA Superfund list (<a href=""https://www.northjersey.com/story/news/environment/2022/03/17/hackensack-river-nj-epa-superfund-list-pollution/7069621001/"">NorthJersey.com</a>)"
2022-03-17 12:23:02,"<li>First drought since 2019 pushes in second week in parts of South Jersey (<a href=""https://pressofatlanticcity.com/weather/first-drought-since-2019-pushes-in-second-week-in-parts-of-south-jersey/article_5e0e4584-a5ea-11ec-9066-cf9749a4e983.html#tracking-source=home-top-story"">Press of Atlantic City</a>)"
2022-03-17 12:21:25,"<li>Lawmakers weigh six-month bag ban delay for food pantries (<a href=""https://newjerseymonitor.com/2022/03/17/lawmakers-weigh-six-month-bag-ban-delay-for-food-pantries/"">NJ Monitor</a>)"
,-
2022-03-18 00:31:38,"<li>Cherry Hill zoners okay electrical substation; PSE&G to plant or fund trees to replace those removed. (<a href=""https://www.70and73.com/news/cherry-hill-zoners-okay-electrical-substation-pse-g-to-plant-or-fund-trees-to-replace/article_78dd938c-a645-11ec-b359-c7569be1312f.html"">70and73.com</a>)"
2022-03-21 12:13:41,"<li>Pinelands advocates optimistic about reserve's future (<a href=""https://www.njspotlightnews.org/2022/03/nj-state-of-the-pinelands-preservation-alliance-commission-pipeline-off-roading-vehicles-management-plan/"">NJ Spotlight</a>)"
,-
2022-03-22 11:21:20,"<li>N.J. state university gets $500K in federal money for offshore wind job training (<a href=""https://www.nj.com/news/2022/03/nj-state-university-gets-500k-in-federal-money-for-offshore-wind-job-training.html"">NJ.com</a>)"
2022-03-22 11:23:32,"<li>As gas prices rise, state providing money for electric charging stations (<a href=""https://pressofatlanticcity.com/news/state-and-regional/as-gas-prices-rise-state-providing-money-for-electric-charging-stations/article_52b7d771-b050-56aa-9667-414385fd7cef.html"">Press of Atlantic City</a>)"
,-
2022-03-22 14:09:32,"<li>Mendham farm readies for yet another reinvention (<a href=""https://njbiz.com/mendham-farm-readies-for-yet-another-reinvention/"">NJ Biz</a>)"
2022-03-22 11:38:28,"<li>Handwringing over Evesham plan to rezone golf clubhouse in Kings Grant for improvements. (<a href=""https://www.70and73.com/news/handwringing-over-evesham-plan-to-rezone-golf-clubhouse-in-kings-grant-for-improvements/article_a4aaecee-a93d-11ec-85d1-cf685daa887a.html"">70and73.com</a>)"
2022-03-23 10:05:06,"<li>N.J. weather: Rain to arrive today, stick around through Thursday (<a href=""https://www.nj.com/weather/2022/03/nj-weather-rain-to-arrive-today-stick-around-through-thursday.html"">NJ.com</a>)"
2022-03-23 10:04:46,"<li>More Tropical Storm Ida aid to be made available (<a href=""https://www.njspotlightnews.org/video/more-tropical-storm-ida-aid-to-be-made-available/"">NJ Spotlight</a>)"
2022-03-23 10:04:13,"<li>Plans for Gibbstown LNG terminal on hold (<a href=""https://www.njspotlightnews.org/2022/03/lng-liquefied-natural-gas-gibbstown-terminal-gloucester-county-pennsylvania-plant/"">NJ Spotlight</a>)"
2022-03-23 10:03:54,"<li>Pitching to bring offshore wind ashore in New Jersey (<a href=""https://www.njspotlightnews.org/2022/03/nj-offshore-power-wind-clean-energy-developers-transmission-companies-utilities-orsted-anbaric-pseg-ppl-atlantic-city-electric-jcpl-proposals-state/"">NJ Spotlight</a>)"
,-
2022-03-24 12:16:21,"<li>Atlantic City Electric reaches agreement to help State achieve its clean energy and climate goals (<a href=""https://www.roi-nj.com/2022/03/24/industry/energy-utilities/atlantic-city-electric-reaches-agreement-to-help-state-achieve-its-clean-energy-and-climate-goals/"">ROI-NJ</a>)"
2022-03-24 12:15:45,"<li>Weather: Rain may bring thunder Thursday, weekend looks mostly dry (<a href=""https://pressofatlanticcity.com/weather/weather-rain-may-bring-thunder-thursday-weekend-looks-mostly-dry/article_0cdae336-aae3-11ec-b39d-3b7cde9cf535.html"">Press of Atlantic City</a>)"
2022-03-24 12:23:39,"<li>NJ awards 1.3M tree planting restoration grants for urban areas (<a href=""https://www.northjersey.com/story/news/2022/03/23/nj-tree-planting-restoration-grants-environment-forestry-program/9453348002/"">NorthJersey.com</a>)"
,-
2022-03-30 11:51:30,"<li>N.J. weather: Thunderstorms, up to 60 mph winds in forecast as temps climb into 70s (<a href=""https://www.nj.com/weather/2022/03/nj-weather-thunderstorms-up-to-60-mph-winds-in-forecast-as-temps-climb-into-70s.html"">NJ.com</a>)"
2022-03-30 12:00:32,"<li>Coming soon to NJ: Study on clean-energy costs (<a href=""https://www.njspotlightnews.org/2022/03/nj-bpu-approved-clean-energy-initiatives-without-knowing-overall-ratepayer-costs-energy-master-plan-utility-customers/"">NJ Spotlight</a>)"
,-
2022-04-04 11:45:44,"<li>Drier Monday before rain returns midweek to New Jersey (<a href=""https://bronx.news12.com/drier-monday-before-rain-returns-midweek-to-new-jersey"">News12</a>)"
2022-04-04 11:47:09,"<li>N.J.’s offshore wind to bring $150 billion in private investment and power thousands of jobs (<a href=""https://www.inquirer.com/business/new-jersey-offshore-wind-jobs-environment-climate-change-20220404.html"">The Inquirer</a>)"
2022-04-04 11:56:01,"<li>The spotted lanternfly returns to NJ soon. Here's what you can do. (<a href=""https://www.northjersey.com/story/news/2022/04/01/spotted-lanternfly-nj-eggs-mass-what-to-do/7215932001/"">NorthJersey.com</a>)"
2022-04-04 11:52:55,"<li>NJ is no longer a leader in solar industry (<a href=""https://www.njspotlightnews.org/2022/04/nj-solar-industry-clean-energy-challenges-covid19-supply-chain-disruptions-price-increases/"">NJ Spotlight</a>)"
