Date,OUTPUT
2022-03-14 11:10:44,"<li>He sent a $32K check to the IRS for his tax bill. It was cashed for the wrong amount. - nj.com (<a href=""https://www.nj.com/news/2022/03/he-sent-a-32k-check-to-the-irs-for-his-tax-bill-it-was-cashed-for-the-wrong-amount.html"">NJ.com</a>)"
2022-03-14 11:10:54,"<li>Here’s how much you’d save under Murphy plan to suspend N.J. fees, from state parks to the MVC - nj.com (<a href=""https://www.nj.com/politics/2022/03/plan-to-get-married-or-visit-a-nj-state-parkheres-how-much-youd-save-under-murphys-fee-holiday.html"">NJ.com</a>)"
2022-03-14 11:10:32,"<li>Stimulus check update: What to know about $350 monthly payment proposal - nj.com (<a href=""https://www.nj.com/coronavirus/2022/03/stimulus-check-update-what-to-know-about-350-monthly-payment-proposal.html"">NJ.com</a>)"
2022-02-27 16:44:37,"<li>Westfield Teen Organizes ‘Kancer Jam’ Fundraiser, an Ultimate Tourney (<a href=""https://www.tapinto.net/towns/westfield/sections/sports/articles/westfield-teen-organizes-kancer-jam-fundraiser-an-ultimate-tourney"">TAPinto</a>)"
2022-03-14 17:07:23,"<li>PSE&G this week seeks Cherry Hill zoning approval to clear 591 trees, build substation on Evesham Road. (<a href=""https://www.70and73.com/news/pse-g-this-week-seeks-cherry-hill-zoning-approval-to-clear-591-trees-build-substation/article_9dd69342-a3a1-11ec-9a2c-d33181ea7fac.html"">70and73.com</a>)"
2022-03-15 07:52:44,"<li>Former Paterson mayor charged with criminal contempt over new mayoral bid (<a href=""https://www.njspotlightnews.org/video/former-paterson-mayor-charged-with-criminal-contempt-over-new-mayoral-bid/"">NJ Spotlight</a>)"
2022-03-15 07:51:52,"<li>Virtual reality opens Fosterfields NJ to people with disabilities (<a href=""https://www.northjersey.com/story/news/local/2022/03/14/virtual-reality-fosterfields-nj-mansion-people-disabilities/9447979002/"">NorthJersey.com</a>)"
2022-03-15 07:51:24,"<li>NJ Transit board rejects Academy contracts for Hudson County routes (<a href=""https://www.northjersey.com/story/news/transportation/2022/03/15/nj-transit-board-rejects-academy-bus-contracts-hudson-county-routes/7037876001/"">NorthJersey.com</a>)"
2022-03-16 11:12:29,"<li>Where to find NOLA’s best culinary creations at the Jersey Shore (<a href=""https://pressofatlanticcity.com/news/local/where-to-find-nola-s-best-culinary-creations-at-the-jersey-shore/collection_9f87ed7e-a470-11ec-a323-4f9f5c7f3fe7.html#tracking-source=home-top-story"">Press of Atlantic City</a>)"
2022-03-15 21:14:34,"<li>Enjoying Princeton in the midst of local improvements (<a href=""https://princetonperspectives.com/enjoying-princeton-in-the-midst-of-local-improvements/"">Princeton Perspectives</a>)"
2022-03-16 11:25:06,"<li>Bayonne, New Jersey, Covers Vladimir Putin's Name On 9/11 Memorial (<a href=""https://www.huffpost.com/entry/bayonne-new-jersey-vladimir-putin-tear-of-grief_n_6230d9d6e4b0b62820296aa1"">HuffPost</a>)"
,-
2022-03-17 09:39:42,"<li>Westfield Chalk Art Event Spreads Positive Messages in Place of Bias Graffiti (<a href=""https://www.tapinto.net/towns/westfield/sections/government/articles/westfield-chalk-art-event-spreads-positive-messages-in-place-of-bias-graffiti-photos"">TAPinto</a>)"
2022-03-16 14:04:39,"<li>Cash-Strapped Oaklyn Closes Borough Library for Records Storage (<a href=""https://www.njpen.com/cash-strapped-oaklyn-closes-borough-library-for-records-storage/"">NJ Pen</a>)"
2022-03-16 12:34:06,"<li>The Reentry Experiences of Juvenile Lifers  (<a href=""https://www.montclair.edu/newscenter/2022/03/15/the-reentry-experiences-of-juvenile-lifers/"">Montclair State University</a>)"
2022-03-17 12:23:21,"<li>Trump golf course in Bedminster NJ to host new pro tour (<a href=""https://www.app.com/story/news/local/somerset-county/2022/03/16/trump-national-golf-course-bedminster-nj-host-liv-pro-golf/7067614001/"">Asbury Park Press</a>)"
2022-03-17 12:25:38,"<li>Walmart fired online grocery shopper after she pulled a muscle, discrimination lawsuit says - nj.com (<a href=""https://www.nj.com/somerset/2022/03/walmart-fired-online-grocery-shopper-after-she-pulled-a-muscle-discrimination-lawsuit-says.html"">NJ.com</a>)"
,-
2022-03-21 11:25:14,"<li>Video highlights: After two years, the big parade returns to Morristown (<a href=""https://morristowngreen.com/2022/03/21/video-highlights-from-the-2022-morris-county-st-patricks-parade/"">Morristown Green</a>)"
2022-03-18 09:33:56,"<li>George Clinton honored at his Newark Elementary School (WATCH VIDEOS) (<a href=""https://www.njarts.net/george-clinton-honored-at-his-newark-elementary-school-watch-videos/"">NJ Arts.net</a>)"
2022-03-17 12:49:35,"<li>NJ town sees catalytic converter thefts spike (<a href=""https://www.fox5ny.com/news/nj-town-sees-catalytic-converter-thefts-spike"">Fox 5</a>)"
2022-03-21 12:10:00,"<li>Intoxicated NJ Cop Charged in Deadly Commute Crash That Killed Couple: DA (<a href=""https://www.nbcnewyork.com/news/local/crime-and-courts/intoxicated-nj-cop-charged-in-deadly-commute-crash-that-killed-couple-da/3608634/"">NBC New York</a>)"
2022-03-21 12:09:42,"<li>Gas prices are down slightly. See how much in your N.J. county. (<a href=""https://www.nj.com/data/2022/03/gas-prices-are-down-slightly-see-how-much-in-your-nj-county-march-21-2022.html"">NJ.com</a>)"
2022-03-21 11:54:11,"<li>'Pleae Touch': A Morristown museum breaks the cardinal rule of curation in bid to lure vistors back after pandemic (<a href=""https://morristowngreen.com/2022/03/21/a-touching-exhibit-morristowns-macculloch-hall-comes-to-grips-with-interactive/"">Morristown Green</a>)"
2022-03-21 11:44:06,"<li>As scientists celebrate discovery of sunken 'Endurance,' a brilliant Bickford show tells more astonishing tale of men who endured this Antrarctic disaster (<a href=""https://morristowngreen.com/2022/03/19/a-spectacular-tale-of-endurance-on-stage-this-weekend-at-the-bickford-in-morris-township/"">Morristown Green</a>)"
2022-03-21 12:11:43,"<li>Atlantic City pilot program aims to address human trafficking (<a href=""https://pressofatlanticcity.com/news/local/atlantic-city-pilot-program-aims-to-address-human-trafficking/article_0fa30742-8ab8-11ec-9169-b3135d9c3997.html"">Press of Atlantic City</a>)"
2022-03-21 12:11:26,"<li>Times Square has the 'Naked Cowboy,' Atlantic City has 'AC Batman' (<a href=""https://pressofatlanticcity.com/times-square-has-the-naked-cowboy-atlantic-city-has-ac-batman/article_d04800da-a618-11ec-bd72-af44d2b34b41.html"">Press of Atlantic City</a>)"
,-
2022-03-21 12:36:45,"<li>Stop the presses! Publishers of Saint Peter’s alumni magazine putting next edition on hold after big win (<a href=""https://www.roi-nj.com/2022/03/18/opinion/editors-desk/stop-the-presses-publishers-of-saint-peters-alumni-magazine-putting-next-edition-on-hold-after-big-win/"">ROI-NJ</a>)"
2022-03-21 12:36:20,"<li>Busted Bracket beer T-shirts: In honor of Saint Peter’s — and to help Ukraine (<a href=""https://www.roi-nj.com/2022/03/21/lifestyle/food-hospitality/busted-bracket-beer-t-shirts-in-honor-of-saint-peters-and-to-help-the-ukraine/"">ROI-NJ</a>)"
2022-03-22 11:26:13,"<li>Posh, pop-up picnic is coming to N.J. city. But its location is a secret. (<a href=""https://www.nj.com/atlantic/2022/03/posh-pop-up-picnic-is-coming-to-nj-city-but-its-location-is-a-secret.html"">NJ.com</a>)"
2022-03-22 11:24:53,"<li>'By us, for us': Project invests in Black women while corporations' 2020 promises remain unclear (<a href=""https://www.northjersey.com/story/news/2022/03/22/project-supports-black-women-leaders-await-companies-2020-promises/8984783002/"">NorthJersey.com</a>)"
2022-03-22 11:23:20,"<li>Wildwood Mayor: Boardwalk will reopen for the summer (<a href=""https://pressofatlanticcity.com/news/local/wildwood-mayor-boardwalk-will-reopen-for-the-summer/article_7809aa96-a950-11ec-9432-b7f10052af62.html"">Press of Atlantic City</a>)"
