Date,OUTPUT
2022-03-14 11:11:40,"<li>Wayne NJ: Affordable housing conflict with Edgewater apartments (<a href=""https://www.northjersey.com/story/news/passaic/wayne/2022/03/14/wayne-nj-affordable-housing-valley-road-conflict-interest-special-master-edgewater-nj/9445446002/"">NorthJersey.com</a>)"
2022-03-15 07:50:56,"<li>It's Election Day in New Jersey, again (<a href=""https://newjerseyglobe.com/local/its-election-day-in-new-jersey-again-2/"">NJ Globe</a>)"
2022-03-15 07:49:57,"<li>Bill would OK civil forfeiture funds for minority recruitment, training (<a href=""https://newjerseymonitor.com/2022/03/14/bill-would-ok-civil-forfeiture-funds-for-minority-recruitment-training/"">NJ Monitor</a>)"
2022-03-15 07:49:19,"<li>Lawmakers hear pleas for increased focus on mental health of students (<a href=""https://newjerseymonitor.com/2022/03/15/lawmakers-hear-pleas-for-increased-focus-on-mental-health-of-students/"">NJ Monitor</a>)"
2022-03-15 07:48:49,"<li>Somers Point to survey public about pot policies (<a href=""https://pressofatlanticcity.com/news/local/somers-point-to-survey-public-about-pot-policies/article_d932855a-a3d7-11ec-8119-c720f2fa7879.html#tracking-source=home-top-story"">Press of Atlantic City</a>)"
2022-03-15 07:53:21,"<li>Inmate release under public health program expected to be last on large scale (<a href=""https://www.njspotlightnews.org/video/inmate-release-under-public-health-program-expected-to-be-last-on-large-scale/"">NJ Spotlight</a>)"
2022-03-15 07:51:10,"<li>New Jerseyans favor some level of U.S. involvement in Ukraine, Rutgers-Eagleton poll finds (<a href=""https://newjerseyglobe.com/polling/new-jerseyans-favor-some-level-of-u-s-involvement-in-ukraine-rutgers-eagleton-poll-finds/"">NJ Globe</a>)"
2022-03-16 11:05:30,"<li>N.J. councilman resigns amid public spat with mayor (<a href=""https://www.nj.com/mercer/2022/03/nj-councilman-resigns-amid-public-spat-with-mayor.html"">NJ.com</a>)"
2022-03-16 11:04:53,"<li>More than 170 seek licenses to sell N.J. legal weed as cannabis panel starts taking applications (<a href=""https://www.nj.com/marijuana/2022/03/more-than-170-seek-licenses-to-sell-nj-legal-weed-as-cannabis-panel-starts-taking-applications.html"">NJ.com</a>)"
2022-03-16 11:04:39,"<li>Dark money linked to NJ operative Sean Caddle in murder-for-hire (<a href=""https://www.northjersey.com/story/news/2022/03/16/dark-money-groups-murder-for-hire-caddle-lesniak-arkady-galdieri/7018224001/"">NorthJersey.com</a>)"
2022-03-16 11:09:05,"<li>Slow work to cut prescription drug prices in NJ (<a href=""https://www.njspotlightnews.org/2022/03/nj-residents-struggle-prescription-drug-prices-little-agreement-how-reduce-costs/"">NJ Spotlight</a>)"
2022-03-16 11:12:44,"<li>Stockton panel sees wine-like future for cannabis tourism in New Jersey (<a href=""https://pressofatlanticcity.com/news/local/stockton-panel-sees-wine-like-future-for-cannabis-tourism-in-new-jersey/article_a0eac30e-a4ba-11ec-98bb-276add803fc6.html#tracking-source=home-top-story"">Press of Atlantic City</a>)"
2022-03-16 11:10:42,"<li>After decade in limbo, lawmakers may debate bill to criminalize bribery for office seekers (<a href=""https://newjerseymonitor.com/2022/03/16/after-decade-in-limbo-lawmakers-may-debate-bill-to-criminalize-bribery-for-office-seekers/"">NJ Monitor</a>)"
2022-03-16 11:10:24,"<li>Jail's roof repair a reminder of N.J.'s stalled reforms on youth incarceration (<a href=""https://newjerseymonitor.com/2022/03/16/jails-roof-repair-a-reminder-of-n-j-s-stalled-reforms-on-youth-incarceration/"">NJ Monitor</a>)"
