Date,OUTPUT,
14/03/2022 11:10:32,"<li>Stimulus check update: What to know about $350 monthly payment proposal - nj.com (<a href=""https://www.nj.com/coronavirus/2022/03/stimulus-check-update-what-to-know-about-350-monthly-payment-proposal.html"">NJ.com</a>)",
15/03/2022 07:50:09,"<li>Court ruling on police records a win for transparency, advocates say (<a href=""https://newjerseymonitor.com/2022/03/14/court-ruling-on-police-records-a-win-for-transparency-advocates-say/"">NJ Monitor</a>)",
2022-03-15 07:49:03,"<li>Legal weed is on its way for New Jersey, but exactly when remains uncertain (<a href=""https://pressofatlanticcity.com/news/local/legal-weed-is-on-its-way-for-new-jersey-but-exactly-when-remains-uncertain/article_afd4e1de-a3c4-11ec-b389-7f9e97899960.html#tracking-source=most-popular-homepage"">Press of Atlantic City</a>)",
2022-03-15 07:41:03,"<li>‘Forever chemicals’ found in dozens of NJ private wells (<a href=""https://www.njspotlightnews.org/2022/03/forever-chemicals-pfas-found-2-schools-40-private-wells-mercer-county-nj-dep-tests-residential-very-upsetting-disturbing/"">NJ Spotlight</a>)",
,-,
17/03/2022 12:25:47,"<li>Full ‘worm moon’ of March 2022 to shine this week as spring equinox nears (<a href=""https://www.nj.com/news/2022/03/full-worm-moon-of-march-2022-to-shine-this-week-as-spring-equinox-nears.html"">NJ.com</a>)",
17/03/2022 12:25:16,"<li>Andover NJ nursing home: Chuck Grassley urges federal probe (<a href=""https://www.northjersey.com/story/news/new-jersey/2022/03/16/andover-nj-nursing-home-chuck-grassley-federal-investigation-covid/7069029001/"">NorthJersey.com</a>)",
17/03/2022 12:24:12,"<li>Latest census data shows higher incomes, more working from home (<a href=""https://www.njspotlightnews.org/2022/03/nj-us-census-bureau-data-new-jersey-among-highest-incomes-working-from-home-reflects-partial-impact-covid-19-pandemic/"">NJ Spotlight</a>)",
,-,
21/03/2022 12:13:29,"<li>Searching for ways to ease pain at gas pump (<a href=""https://www.njspotlightnews.org/2022/03/gas-prices-gas-tax-tax-rollback-gas-tax-credit-infrastructure-inflation/"">NJ Spotlight</a>)",
21/03/2022 12:12:59,"<li>N.J. is headed in the wrong direction, residents say in new poll (<a href=""https://www.nj.com/politics/2022/03/nj-is-headed-in-the-wrong-direction-residents-say-in-new-poll.html"">NJ.com</a>)",
21/03/2022 12:11:59,"<li>Atlantic County activists march against school segregation outside Democratic Convention (<a href=""https://pressofatlanticcity.com/news/local/atlantic-county-activists-march-against-school-segregation-outside-democratic-convention/article_fa0378ec-a8a6-11ec-8768-cf193a4fb7f0.html"">Press of Atlantic City</a>)",
,-,
21/03/2022 18:31:50,"<li>Westfield Council to consider designating ‘open container’ drinking areas (<a href=""https://www.tapinto.net/towns/westfield/sections/government/articles/westfield-council-to-consider-designating-open-container-drinking-areas"">TAPinto</a>)",
